Product_Name,Product_Quantity,MRP_Price,Offer_Price
Onion,1 kg,Rs 25,Rs 20
Potato,1 kg,Rs 46.25,Rs 37
Carrot - Local,250 g,Rs 14.38,Rs 11.50
Ladies Finger,500 g,Rs 20,Rs 16
Potato Onion Tomato 1 kg Each,Combo,Rs 95,Rs 76
Palak,100 g,Rs 8.75,Rs 7
Cauliflower,1 pc,Rs 30,Rs 24
Mushrooms - Button,200 g,Rs 62.50,Rs 50
Tomato - Hybrid,500 g,Rs 12.50,Rs 10
Capsicum - Green,500 g,Rs 37.50,Rs 30
Tomato - Local,500 g,Rs 12.50,Rs 10
"Tomato - Local, Organically Grown",500 g,Rs 15,Rs 12
Cucumber,500 g,Rs 15,Rs 12
Cabbage,1 pc,Rs 18.75,Rs 15
Sweet Corn,2 pcs,Rs 37.50,Rs 30
Beetroot,250 g,Rs 14.38,Rs 11.50
Beans - Haricot,250 g,Rs 37.50,Rs 30
Onion - Organically Grown,1 kg,Rs 31.25,Rs 25
Methi,100 g,Rs 20,Rs 16
Broccoli,500 g,Rs 106.25,Rs 85
Onion,1 kg,Rs 25,Rs 20
Potato,1 kg,Rs 46.25,Rs 37
Carrot - Local,250 g,Rs 14.38,Rs 11.50
Ladies Finger,500 g,Rs 20,Rs 16
Potato Onion Tomato 1 kg Each,Combo,Rs 95,Rs 76
Palak,100 g,Rs 8.75,Rs 7
Cauliflower,1 pc,Rs 30,Rs 24
Mushrooms - Button,200 g,Rs 62.50,Rs 50
Tomato - Hybrid,500 g,Rs 12.50,Rs 10
Capsicum - Green,500 g,Rs 37.50,Rs 30
Tomato - Local,500 g,Rs 12.50,Rs 10
"Tomato - Local, Organically Grown",500 g,Rs 15,Rs 12
Cucumber,500 g,Rs 15,Rs 12
Cabbage,1 pc,Rs 18.75,Rs 15
Sweet Corn,2 pcs,Rs 37.50,Rs 30
Beetroot,250 g,Rs 14.38,Rs 11.50
Beans - Haricot,250 g,Rs 37.50,Rs 30
Onion - Organically Grown,1 kg,Rs 31.25,Rs 25
Methi,100 g,Rs 20,Rs 16
Broccoli,500 g,Rs 106.25,Rs 85
Onion,1 kg,Rs 25,Rs 20
Potato,1 kg,Rs 46.25,Rs 37
Carrot - Local,250 g,Rs 14.38,Rs 11.50
Ladies Finger,500 g,Rs 20,Rs 16
Potato Onion Tomato 1 kg Each,Combo,Rs 95,Rs 76
Palak,100 g,Rs 8.75,Rs 7
Cauliflower,1 pc,Rs 30,Rs 24
Mushrooms - Button,200 g,Rs 62.50,Rs 50
Tomato - Hybrid,500 g,Rs 12.50,Rs 10
Capsicum - Green,500 g,Rs 37.50,Rs 30
Tomato - Local,500 g,Rs 12.50,Rs 10
"Tomato - Local, Organically Grown",500 g,Rs 15,Rs 12
Cucumber,500 g,Rs 15,Rs 12
Cabbage,1 pc,Rs 18.75,Rs 15
Sweet Corn,2 pcs,Rs 37.50,Rs 30
Beetroot,250 g,Rs 14.38,Rs 11.50
Beans - Haricot,250 g,Rs 37.50,Rs 30
Onion - Organically Grown,1 kg,Rs 31.25,Rs 25
Methi,100 g,Rs 20,Rs 16
Broccoli,500 g,Rs 106.25,Rs 85
Onion,1 kg,Rs 25,Rs 20
Onion,1 kg,Rs 25,Rs 20
